Count Bub   Ins   Sel   SelNS BubNS InsNS Shell Heap  Count Rdx-L Merge   
100   0.001 0.001 0.001 0.001 0.001 0.000 0.000 0.000 0.000 0.000 0.000   
1000  0.094 0.053 0.026 0.021 0.030 0.017 0.003 0.004 0.001 0.003 0.003   
2000  0.375 0.200 0.107 0.083 0.097 0.015 0.007 0.008 0.001 0.005 0.004   
3000  0.827 0.432 0.237 0.184 0.172 0.024 0.010 0.014 0.001 0.009 0.007   
4000  1.552 0.825 0.324 0.299 0.229 0.040 0.014 0.019 0.001 0.011 0.010   
5000  2.413 1.222 0.490 0.480 0.334 0.048 0.018 0.024 0.001 0.013 0.013   
6000  3.427 1.757 0.677 0.730 0.388 0.050 0.020 0.030 0.002 0.018 0.016   
7000  4.731 2.374 0.986 0.978 0.442 0.062 0.033 0.035 0.001 0.019 0.019   
8000  5.967 3.135 1.256 1.246 0.559 0.075 0.028 0.041 0.006 0.022 0.022   
9000  7.760 4.008 1.614 1.695 0.633 0.086 0.031 0.051 0.002 0.024 0.025   
10000 9.621 4.904 1.897 2.160 0.708 0.087 0.035 0.056 0.002 0.027 0.029   
15000 21.40 11.29 4.837 4.725 1.288 0.126 0.055 0.081 0.004 0.039 0.043   
20000 39.33 20.23 8.258 8.360 1.646 0.167 0.078 0.128 0.005 0.053 0.061   
30000 89.35 44.68 19.13 19.54 2.587 0.244 0.128 0.173 0.008 0.082 0.091   
40000 161.4 79.32 35.20 33.21 3.367 0.331 0.181 0.246 0.010 0.104 0.134   
50000 260.3 124.8 53.68 55.50 4.123 0.417 0.229 0.326 0.013 0.139 0.157   
100000                                    0.549 0.695 0.030 0.281 0.368   
200000                                    1.262 1.599 0.053 0.594 0.763   
300000                                    2.052 2.575 0.083 0.957 1.186   
400000                                    2.784 3.371 0.107 1.366 1.656   
500000                                    3.765 4.321 0.123 1.700 2.049   
1000000                                               0.292 3.170 4.287   
2000000                                                     7.663    
3000000                                                    11.760    
4000000                                                    15.379    
5000000                                                    18.720    
10000000                                              2.97 45.267    
100000000                                            27.27 

count=100    elapsed=0.000
count=1000   elapsed=0.003
count=2000   elapsed=0.006
count=3000   elapsed=0.009
count=4000   elapsed=0.013
count=5000   elapsed=0.016
count=6000   elapsed=0.020
count=7000   elapsed=0.024
count=8000   elapsed=0.026
count=9000   elapsed=0.031
count=10000  elapsed=0.035
count=15000  elapsed=0.054
count=20000  elapsed=0.074
count=30000  elapsed=0.116
count=40000  elapsed=0.159
count=50000  elapsed=0.196
count=100000 elapsed=0.442
count=200000 elapsed=0.898
count=300000 elapsed=1.439
count=400000 elapsed=2.111
count=500000 elapsed=2.717
count=1000000elapsed=5.684
